ID,Status,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp,Timestamp_us
Sensor_1,Active,0.18,-0.83,-0.49,0.37,1.16,-6.58,00:20:215000,20215000
Sensor_1,Active,0.19,-0.85,-0.53,-5.97,-9.18,-1.85,00:20:315000,20315000
Sensor_1,Active,0.18,-0.85,-0.52,-5.40,-15.10,-3.73,00:20:415000,20415000
Sensor_1,Active,0.15,-0.84,-0.51,-8.40,0.76,-2.32,00:20:515000,20515000
Sensor_1,Active,0.19,-0.81,-0.55,-3.31,2.23,-0.39,00:20:615000,20615000
Sensor_1,Active,0.18,-0.83,-0.56,-8.56,-4.30,-2.99,00:20:715000,20715000
Sensor_1,Active,0.17,-0.81,-0.53,-6.04,-3.73,-0.81,00:20:815000,20815000
Sensor_1,Active,0.17,-0.83,-0.54,-7.24,-0.12,-3.65,00:20:915000,20915000
Sensor_1,Active,0.17,-0.82,-0.54,-7.49,-2.98,-0.55,00:21:015000,21015000
Sensor_1,Active,0.18,-0.81,-0.57,-7.66,-2.56,-1.11,00:21:115000,21115000
Sensor_1,Active,0.17,-0.82,-0.55,-10.53,-1.41,-2.51,00:21:215000,21215000
Sensor_1,Active,0.18,-0.81,-0.56,-4.66,-1.10,-2.79,00:21:315000,21315000
Sensor_1,Active,0.18,-0.81,-0.55,-7.11,1.15,-5.91,00:21:415000,21415000
Sensor_1,Active,0.20,-0.81,-0.58,-9.13,0.82,-3.46,00:21:515000,21515000
Sensor_1,Active,0.19,-0.79,-0.57,-8.24,-4.20,-2.27,00:21:615000,21615000
Sensor_1,Active,0.18,-0.79,-0.56,1.30,-1.45,0.04,00:21:715000,21715000
Sensor_1,Active,0.19,-0.80,-0.56,-3.58,-0.99,-0.50,00:21:815000,21815000
Sensor_1,Active,0.20,-0.79,-0.59,-10.87,0.85,-2.17,00:21:915000,21915000
Sensor_1,Active,0.19,-0.78,-0.56,-6.37,5.56,-2.58,00:22:015000,22015000
Sensor_1,Active,0.18,-0.73,-0.56,-7.72,30.53,-0.54,00:22:115000,22115000
Sensor_1,Active,0.18,-0.75,-0.47,111.33,55.94,3.34,00:22:215000,22215000
Sensor_1,Active,0.21,-0.80,-0.27,137.21,63.45,0.56,00:22:315000,22315000
Sensor_1,Active,0.18,-1.14,0.12,160.13,38.32,24.66,00:22:415000,22415000
Sensor_1,Active,0.26,-1.01,0.21,46.27,35.47,12.25,00:22:515000,22515000
Sensor_1,Active,0.33,-1.01,0.51,59.73,7.07,2.93,00:22:615000,22615000
Sensor_1,Active,0.20,-0.94,0.38,70.40,-21.24,47.08,00:22:715000,22715000
Sensor_1,Active,0.13,-0.90,0.53,16.88,-94.18,139.03,00:22:815000,22815000
Sensor_1,Active,-0.12,-0.98,0.62,-5.21,-199.07,250.13,00:22:915000,22915000
Sensor_1,Active,-0.37,-0.75,0.70,16.94,-56.51,96.06,00:23:015000,23015000
Sensor_1,Active,-0.32,-0.61,0.74,13.43,-87.92,94.55,00:23:115000,23115000
Sensor_1,Active,-0.29,-0.66,0.81,20.18,-73.18,6.88,00:23:216000,23216000
Sensor_1,Active,-0.27,-0.57,0.85,22.26,-95.21,-8.28,00:23:316000,23316000
Sensor_1,Active,-0.12,-0.53,0.86,-24.85,-79.69,6.41,00:23:415000,23415000
Sensor_1,Active,0.08,-0.59,1.02,17.49,15.43,18.00,00:23:515000,23515000
Sensor_1,Active,-0.09,-0.56,1.03,47.62,-39.73,-15.21,00:23:615000,23615000
Sensor_1,Active,0.07,-0.52,1.26,66.66,-11.68,84.38,00:23:715000,23715000
Sensor_1,Active,0.07,-0.37,1.00,65.58,8.79,49.24,00:23:815000,23815000
Sensor_1,Active,-0.12,-0.21,1.08,55.69,60.48,-23.46,00:23:915000,23915000
Sensor_1,Active,-0.21,-0.13,1.15,-2.64,20.01,148.43,00:24:015000,24015000
Sensor_1,Active,-0.28,-0.10,1.02,15.45,34.55,65.98,00:24:115000,24115000
Sensor_1,Active,-0.36,-0.01,0.91,16.71,15.42,30.99,00:24:215000,24215000
Sensor_1,Active,-0.26,-0.03,0.93,-16.98,-63.02,22.41,00:24:315000,24315000
Sensor_1,Active,-0.14,-0.04,1.02,-2.34,-49.98,19.41,00:24:415000,24415000
Sensor_1,Active,-0.03,0.01,1.12,-12.93,0.18,68.51,00:24:515000,24515000
Sensor_1,Active,-0.12,0.01,1.10,-8.98,9.82,24.39,00:24:615000,24615000
Sensor_1,Active,-0.07,0.00,1.07,-5.92,-1.56,11.63,00:24:715000,24715000
Sensor_1,Active,-0.05,0.02,1.09,-9.66,-0.66,41.25,00:24:815000,24815000
Sensor_1,Active,-0.07,0.01,1.08,-4.18,-1.62,0.30,00:24:915000,24915000
