Timestamp_Local,NodeID,ax,ay,az,gx,gy,gz,Timestamp_Node
Sensor1,-3069,2405,-338,-162,-56,162,00:04:738000
Sensor1,-3075,2467,-303,-145,-62,-10,00:04:847000
Sensor1,-3051,2480,-335,-133,-76,-50,00:04:951000
Sensor1,-3058,2480,-347,-135,-69,-41,00:05:056000
Sensor1,-3087,2445,-294,-139,-62,16,00:05:161000
Sensor1,-3082,2470,-342,-147,-67,51,00:05:266000
Sensor1,-3013,2494,-329,-144,-64,21,00:05:370000
Sensor1,-3016,2494,-285,-134,-64,-48,00:05:475000
Sensor1,-3062,2487,-313,-132,-75,-58,00:05:580000
Sensor1,-3047,2482,-307,-108,-72,-209,00:05:684000
Sensor1,-3104,2396,-330,-34,-102,-694,00:05:789000
Sensor1,-3191,2298,-383,-30,-90,-692,00:05:894000
Sensor1,-3259,2190,-331,-99,-82,-275,00:05:998000
Sensor1,-3278,2146,-327,-139,-67,-57,00:06:103000
Sensor1,-3229,2167,-329,-86,-75,-324,00:06:208000
Sensor1,-3337,2117,-353,-54,-94,-569,00:06:312000
Sensor1,-3395,2021,-327,-132,-66,-58,00:06:417000
Sensor1,-3362,2041,-376,-207,-40,453,00:06:521000
Sensor1,-3263,2187,-336,-213,-38,513,00:06:626000
Sensor1,-3208,2237,-316,-159,-60,125,00:06:731000
Sensor1,-3218,2263,-277,-155,-66,99,00:06:836000
Sensor1,-3179,2327,-326,-185,-49,323,00:06:941000
Sensor1,-3123,2386,-333,-208,-45,454,00:07:046000
Sensor1,-3036,2491,-322,-180,-55,246,00:07:150000
Sensor1,-3043,2510,-355,-128,-68,-78,00:07:255000
Sensor1,-3037,2481,-276,-81,-86,-413,00:07:360000
Sensor1,-3145,2362,-345,-36,-103,-703,00:07:465000
Sensor1,-3214,2292,-286,-66,-87,-481,00:07:570000
Sensor1,-3221,2260,-366,-123,-66,-138,00:07:675000
Sensor1,-3201,2218,-331,-134,-70,-41,00:07:780000
Sensor1,-3222,2178,-319,-153,-60,67,00:07:884000
Sensor1,-3203,2239,-345,-175,-52,228,00:07:989000
Sensor1,-3173,2279,-336,-132,-66,-48,00:08:094000
Sensor1,-3202,2246,-315,-58,-92,-551,00:08:198000
Sensor1,-3301,2099,-310,33,-123,-1141,00:08:303000
Sensor1,-3456,1902,-337,-31,-101,-718,00:08:407000
Sensor1,-3461,1832,-299,-74,-94,-470,00:08:512000
Sensor1,-3541,1665,-365,50,-123,-1215,00:08:616000
Sensor1,-3653,1350,-364,114,-147,-1664,00:08:721000
Sensor1,-3800,966,-355,131,-157,-1764,00:08:826000
Sensor1,-3868,542,-325,166,-167,-2055,00:08:931000
Sensor1,-3945,39,-312,200,-186,-2293,00:09:036000
