Timestamp_Local, NodeID, ax , ay  , az  , gx , gy , gz          , Timestamp_Node
Sensor1        , 3696  , 401, 2307, -131, -70, -45, 09:39:522000, 
Sensor1        , 3715  , 411, 2320, -130, -75, -45, 09:39:631000, 
Sensor1        , 3710  , 415, 2343, -129, -72, -47, 09:39:736000, 
Sensor1        , 3723  , 420, 2379, -139, -66, -47, 09:39:840000, 
Sensor1        , 3715  , 416, 2332, -133, -77, -52, 09:39:945000, 
Sensor1        , 3705  , 395, 2354, -135, -65, -47, 09:40:050000, 
Sensor1        , 3709  , 399, 2326, -133, -65, -55, 09:40:155000, 
Sensor1        , 3718  , 419, 2335, -128, -68, -51, 09:40:260000, 
Sensor1        , 3713  , 412, 2338, -130, -67, -55, 09:40:365000, 
Sensor1        , 3671  , 413, 2337, -135, -69, -44, 09:40:469000, 
Sensor1        , 3733  , 415, 2322, -138, -62, -51, 09:40:574000, 
Sensor1        , 3751  , 396, 2321, -135, -76, -45, 09:40:679000, 
Sensor1        , 3724  , 406, 2346, -135, -64, -57, 09:40:784000, 
Sensor1        , 3733  , 443, 2358, -130, -61, -53, 09:40:889000, 
Sensor1        , 3723  , 446, 2385, -132, -62, -47, 09:40:993000, 
Sensor1        , 3707  , 420, 2322, -130, -71, -43, 09:41:098000, 
Sensor1        , 3690  , 405, 2336, -129, -74, -46, 09:41:203000, 
Sensor1        , 3710  , 422, 2316, -130, -67, -46, 09:41:308000, 
Sensor1        , 3710  , 423, 2330, -133, -71, -45, 09:41:413000, 
Sensor1        , 3730  , 392, 2367, -135, -73, -49, 09:41:518000, 
Sensor1        , 3704  , 440, 2324, -136, -64, -49, 09:41:623000, 
Sensor1        , 3731  , 401, 2350, -131, -67, -46, 09:41:727000, 
Sensor1        , 3703  , 402, 2317, -134, -71, -54, 09:41:832000, 
Sensor1        , 3739  , 409, 2355, -130, -71, -51, 09:41:937000, 
Sensor1        , 3708  , 430, 2317, -136, -69, -53, 09:42:042000, 
Sensor1        , 3727  , 393, 2336, -129, -63, -50, 09:42:147000, 
Sensor1        , 3724  , 445, 2350, -133, -76, -49, 09:42:252000, 
Sensor1        , 3718  , 417, 2327, -136, -71, -47, 09:42:357000, 
Sensor1        , 3723  , 395, 2317, -126, -69, -49, 09:42:461000, 
Sensor1        , 3695  , 425, 2343, -134, -69, -52, 09:42:566000, 
Sensor1        , 3726  , 412, 2281, -135, -73, -46, 09:42:671000, 
Sensor1        , 3704  , 392, 2313, -133, -70, -52, 09:42:777000, 
Sensor1        , 3731  , 402, 2349, -132, -70, -49, 09:42:882000, 
Sensor1        , 3721  , 418, 2319, -130, -72, -49, 09:42:987000, 
Sensor1        , 3726  , 416, 2326, -128, -62, -46, 09:43:092000, 
Sensor1        , 3736  , 412, 2340, -138, -65, -51, 09:43:197000, 
Sensor1        , 3723  , 413, 2340, -132, -70, -50, 09:43:302000, 
Sensor1        , 3697  , 410, 2356, -124, -68, -53, 09:43:406000, 
Sensor1        , 3713  , 406, 2321, -135, -75, -51, 09:43:511000, 
Sensor1        , 3709  , 387, 2315, -132, -69, -47, 09:43:616000, 
Sensor1        , 3732  , 402, 2331, -133, -66, -51, 09:43:721000, 
Sensor1        , 3705  , 417, 2330, -126, -68, -54, 09:43:826000, 
Sensor1        , 3715  , 396, 2377, -132, -64, -53, 09:43:931000, 
Sensor1        , 3721  , 409, 2357, -130, -66, -47, 09:44:036000, 
Sensor1        , 3725  , 426, 2304, -133, -70, -46, 09:44:140000, 
Sensor1        , 3716  , 415, 2321, -130, -68, -53, 09:44:245000, 
Sensor1        , 3709  , 429, 2370, -136, -62, -51, 09:44:350000, 
Sensor1        , 3731  , 380, 2337, -134, -66, -51, 09:44:455000, 
Sensor1        , 3689  , 434, 2359, -131, -70, -50, 09:44:560000, 
